,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 550,0,0,0,7,0,0,0,0,10.5
Day 551,0,0,0,2,0,0,0,0,10.6
Day 552,0,8,0,5,0,0,0,0,10.6
Day 553,0,2,0,21,0,0,0,0,10.2
Day 554,0,0,0,17,0,0,0,0,10.5
Day 555,0,1,0,16,0,0,0,0,10.9
Day 556,0,0,0,17,0,0,0,0,10.5
Day 557,0,0,0,5,0,0,0,0,9.7
Day 558,0,0,0,0,0,0,0,0,9.7
Day 559,0,0,0,2,0,0,0,0,9.8
Day 560,0,2,0,0,0,0,0,0,10.2
Day 561,0,4,0,8,0,0,0,0,10.2
Day 562,0,0,0,11,0,0,0,0,10.5
Day 563,0,1,0,12,0,0,0,0,10.3
Day 564,0,4,0,4,0,0,0,0,10.2
Day 565,0,0,0,2,0,0,0,0,10.2
Day 566,0,0,0,10,0,0,0,0,10.2
Day 567,0,1,0,11,0,0,0,0,9.8
Day 568,0,2,0,13,0,0,0,0,10.2
Day 569,0,1,0,0,0,0,0,0,10.9
Day 570,0,0,0,8,0,0,0,0,10.3
Day 571,0,0,0,0,0,0,0,0,10.2
Day 572,0,0,0,6,0,0,0,0,10.2
Day 573,0,0,0,3,0,0,0,0,10.5
Day 574,0,0,0,4,0,0,0,0,10.5
Day 575,0,0,0,9,0,0,0,0,10.2
Day 576,0,0,0,20,0,0,0,0,10.2
Day 577,0,0,0,32,0,0,0,0,10.2
Day 578,0,0,0,8,0,0,0,0,10.3
Day 579,0,0,0,1,0,0,0,0,10.6
Day 580,0,0,0,5,0,0,0,0,10.2
Day 581,0,0,0,3,0,0,0,0,10.2
Day 582,0,0,0,5,0,0,0,0,10.5
Day 583,0,0,0,3,0,0,0,0,10.6
Day 584,0,0,0,6,0,0,0,0,10.6
Day 585,0,0,0,8,0,0,0,0,10.5
Day 586,0,0,0,8,0,0,0,0,10.6
Day 587,0,0,0,14,0,0,0,0,10.6
Day 588,0,0,0,11,0,0,0,0,10.6
Day 589,0,0,0,0,0,0,0,0,10.9
Day 590,0,0,0,22,0,0,0,0,10.9
Day 591,0,0,0,11,0,0,0,0,11
Day 592,0,0,0,6,0,0,0,0,11.1
Day 593,0,0,0,2,0,0,0,0,11
Day 594,0,0,0,0,0,0,0,0,11
Day 595,0,0,0,0,0,0,0,0,11.3
Day 596,0,0,0,0,0,0,0,0,11.4
Day 597,0,0,0,2,0,0,0,0,11
Day 598,0,0,0,2,0,0,0,0,11
Day 599,0,0,0,2,0,0,0,0,11
Day 600,0,0,0,5,0,0,0,0,11.3
Day 601,0,0,0,1,0,0,0,0,11.7
Day 602,0,0,0,4,0,0,0,0,11.3
Day 603,0,0,0,0,0,0,0,0,11
Day 604,0,0,0,1,0,0,0,0,11
Day 605,0,0,0,4,0,0,0,0,10.6
Day 606,0,0,0,0,0,0,0,0,10.9
Day 607,0,0,0,1,0,0,0,0,10.6
Day 608,0,0,0,0,0,0,0,0,11
Day 609,0,0,0,0,0,0,0,0,10.6
Day 610,0,0,1,0,0,0,0,0,10.6
Day 611,0,0,0,0,0,0,0,0,10.6
Day 612,0,0,0,0,0,0,0,0,10.6
Day 613,0,0,0,1,0,0,0,0,11
Day 614,0,0,0,1,0,0,0,0,11.3
Day 615,0,0,0,0,0,0,0,0,11.4
Day 616,0,0,0,0,0,0,0,0,11.4
Day 617,0,0,0,0,0,0,0,0,10.6
Day 618,0,0,0,0,0,0,0,0,9.8
Day 619,0,0,0,1,0,0,0,0,10.2
Day 620,0,0,0,1,0,0,0,0,10.2
Day 621,0,0,0,0,0,0,0,0,10.5
Day 622,0,0,0,0,0,0,0,0,10.2
Day 623,0,0,0,0,1,0,0,0,10.2
Day 624,0,0,0,2,0,0,0,0,10.6
Day 625,0,0,0,0,0,0,0,0,10.1
Day 626,0,0,0,0,0,0,0,0,10.5
Day 627,0,0,0,0,0,0,0,0,10.6
Day 628,0,0,0,0,0,0,0,0,10.2
Day 629,0,0,0,0,0,0,0,0,9.8
Day 630,0,0,0,0,0,0,0,0,10.1
Day 631,0,0,0,0,0,0,0,0,10.2
Day 632,0,0,0,0,0,0,0,0,9.8
Day 633,0,0,0,0,0,0,0,0,10.2
Day 634,0,0,0,0,0,0,0,0,9.7
Day 635,0,0,0,2,0,0,0,0,10.2
Day 636,0,0,0,0,0,0,0,0,10
Day 637,0,0,0,0,0,0,0,0,10.2
Day 638,0,0,0,0,0,0,0,0,9.8
Day 639,0,0,0,0,1,0,0,0,9.5
Day 640,0,0,0,0,0,0,0,0,9.4
Day 641,0,0,0,0,0,0,0,0,9
Day 642,0,0,0,0,0,0,0,0,9
Day 643,0,0,0,0,0,0,0,0,9.1
Day 644,0,2,0,0,1,0,0,0,9.5
Day 645,0,1,0,0,0,0,0,0,9.5
Day 646,0,0,0,0,0,0,0,0,9.4
Day 647,0,0,0,0,0,0,0,0,9.4
Day 648,0,0,0,0,1,0,0,0,9.1
Day 649,0,0,0,0,0,0,0,0,9
Day 650,0,0,0,0,2,0,0,0,8.9
Day 651,0,0,0,0,0,0,0,0,8.7
Day 652,0,0,0,0,2,0,0,0,8.6
Day 653,0,0,0,0,7,0,0,0,8.6
Day 654,0,0,0,0,3,0,0,0,8.7
Day 655,0,0,0,0,0,0,0,0,8.7
Day 656,0,0,0,0,0,0,0,0,8.7
Day 657,0,0,0,0,1,0,0,0,8.6
Day 658,0,0,0,0,0,0,0,0,8.2
Day 659,0,0,0,0,0,0,0,0,7.9
Day 660,0,0,0,0,0,0,0,0,7.8
Day 661,0,0,0,0,0,0,0,0,8.2
Day 662,0,0,0,0,1,0,0,2,8.3
Day 663,0,0,0,0,0,0,0,1,8.2
Day 664,0,0,0,0,0,0,0,0,8.2
Day 665,0,0,0,0,0,0,0,0,7.9
Day 666,0,0,0,0,0,0,0,0,7.8
Day 667,0,0,0,0,1,0,0,0,7.8
Day 668,0,0,0,0,0,0,0,0,7.8
Day 669,0,0,0,0,0,0,0,0,7.8
Day 670,1,0,0,0,0,0,0,0,7.7
Day 671,1,0,0,0,0,0,0,0,7.5
Day 672,1,0,0,0,0,0,0,0,7.1
Day 673,1,0,0,0,0,0,0,0,7.1
Day 674,0,0,2,0,0,0,0,0,7.2
Day 675,0,0,0,0,0,0,0,0,7.4
Day 676,0,0,0,0,0,0,0,0,7.1
Day 677,0,0,0,0,0,0,0,0,7.1
Day 678,0,1,0,0,0,0,0,0,6.9
Day 679,0,0,0,0,0,0,0,0,7
Day 680,0,0,0,0,0,0,0,0,7
Day 681,0,0,0,0,0,0,0,0,6.6
Day 682,0,0,0,0,0,0,0,0,6.7
Day 683,0,0,0,0,1,0,0,0,6.6
Day 684,0,0,0,0,0,0,0,0,6.3
Day 685,1,0,0,0,0,0,0,0,6.3
Day 686,2,0,0,0,0,0,0,0,5.7
Day 687,0,0,0,0,0,0,0,0,5.5
Day 688,0,0,0,0,0,0,0,0,5.6
Day 689,0,0,0,0,0,0,0,0,5.5
Day 690,0,0,0,0,0,0,0,0,5.5
Day 691,0,0,0,0,0,0,0,0,5.2
Day 692,0,0,0,0,0,0,0,0,5.5
Day 693,0,0,0,0,1,0,0,0,5.5
Day 694,0,0,0,0,0,0,0,0,5.5
Day 695,0,0,0,0,0,0,0,0,5.5
Day 696,0,0,0,0,0,0,0,0,5.5
Day 697,0,0,0,0,0,0,0,0,5.2
Day 698,0,0,0,0,0,0,0,0,5.2
Day 699,0,0,0,0,0,0,0,0,5.2
Day 700,0,0,0,0,0,0,0,0,5.2
Day 701,0,0,0,0,0,0,0,0,5.2
Day 702,0,0,0,0,0,0,0,0,5.2
Day 703,0,0,0,0,0,0,0,0,5.1
Day 704,0,1,0,0,0,0,0,0,5.1
Day 705,0,2,0,0,0,0,0,0,5.2
Day 706,0,0,0,0,1,0,0,0,5.1
Day 707,0,0,0,0,0,0,0,0,5.1
Day 708,0,0,0,0,0,0,0,0,4.9
Day 709,1,0,0,0,0,0,0,0,5.1
Day 710,2,0,0,0,0,0,0,0,4.8
Day 711,1,0,0,0,0,0,0,0,4.7
Day 712,1,0,0,0,0,0,0,0,4.7
Day 713,1,0,0,0,0,0,0,0,4.4
Day 714,0,0,0,0,1,0,0,0,4.3
Day 715,0,0,0,0,0,0,0,0,4.4
Day 716,0,0,0,0,0,0,0,0,4.7
Day 717,0,0,0,0,0,0,0,0,4.7
Day 718,0,0,0,0,0,0,0,0,4.4
Day 719,0,0,0,0,0,0,0,0,4
Day 720,0,0,0,0,0,0,0,0,4
Day 721,0,0,0,0,0,0,0,0,3.9
Day 722,0,0,0,0,0,0,0,0,4
Day 723,0,0,0,0,0,0,0,0,4
Day 724,0,0,0,0,0,0,0,0,4
Day 725,0,0,0,0,0,0,0,0,4
Day 726,1,0,0,0,0,0,0,0,4
Day 727,0,0,0,0,0,0,0,0,4
Day 728,0,0,0,0,0,0,0,0,4
Day 729,0,0,0,0,0,0,0,0,3.9
Day 730,0,0,0,0,0,0,0,0,3.9
Day 731,0,0,0,0,0,0,0,0,4
Day 732,0,0,0,0,0,0,0,0,3.9
Day 733,0,0,0,0,0,0,0,0,3.9
Day 734,0,0,0,0,0,0,0,0,3.6
Day 735,0,0,0,0,0,0,0,0,3.6
Day 736,0,0,0,0,0,0,0,0,3.5
Day 737,0,0,0,0,0,0,0,0,3.5
Day 738,0,0,0,0,0,0,0,0,3.5
Day 739,0,0,0,0,0,0,0,0,3.6
Day 740,0,0,0,0,0,0,0,0,3.6
Day 741,0,0,0,0,0,0,0,0,3.5
Day 742,1,0,0,0,0,0,0,0,3.5
Day 743,1,0,0,0,0,0,0,0,3.6
Day 744,2,0,0,0,0,0,0,0,3.6
Day 745,2,0,0,0,0,0,0,0,3.6
Day 746,3,0,0,0,0,0,0,0,3.5
Day 747,3,0,0,0,0,0,0,0,3.6
Day 748,3,0,0,0,0,0,0,0,3.9
Day 749,3,0,0,0,0,0,0,0,3.9
Day 750,2,0,0,0,0,0,0,0,3.6
Day 751,4,0,0,0,0,0,0,0,3.5
Day 752,8,0,0,0,0,0,0,0,3.2
Day 753,5,0,0,0,0,0,0,0,3.2
Day 754,3,0,0,0,0,0,0,0,3.9
Day 755,2,0,0,0,0,0,0,0,3.3
Day 756,2,0,0,0,0,0,0,0,3.6
Day 757,3,0,0,0,0,0,0,0,3.6
Day 758,3,2,0,0,0,0,0,0,3.5
Day 759,4,0,0,0,0,0,0,0,3.3
Day 760,1,0,0,0,0,0,0,0,3.5
Day 761,1,0,0,0,0,0,0,0,3.2
Day 762,1,0,0,0,0,0,0,0,3.2
Day 763,1,0,0,0,0,0,0,0,3.5
Day 764,1,0,0,0,0,0,0,0,3.5
Day 765,5,0,0,0,0,0,0,0,3.5
Day 766,4,0,0,0,0,0,0,0,3.5
Day 767,6,0,0,0,0,0,0,0,3.2
Day 768,1,0,0,0,0,0,0,0,3.5
Day 769,1,0,0,0,0,0,0,0,3.5
Day 770,1,0,0,0,0,0,0,0,3.5
Day 771,2,0,0,0,0,0,0,0,3.5
Day 772,4,0,0,0,0,0,0,0,3.5
Day 773,4,0,0,0,0,0,0,0,3.5
Day 774,1,0,0,0,0,0,0,0,3.6
Day 775,1,0,0,0,0,0,0,0,3.5
Day 776,1,0,0,0,0,0,0,0,3.6
Day 777,1,0,0,0,0,0,0,0,3.5
Day 778,2,0,0,0,0,0,0,0,3.6
Day 779,1,1,0,0,0,0,0,0,3.6
Day 780,0,4,0,0,0,0,0,0,3.6
Day 781,0,4,0,0,0,0,0,0,3.6
Day 782,1,5,0,0,0,0,0,0,3.6
Day 783,3,1,0,0,0,0,0,0,3.2
Day 784,1,0,0,0,0,0,0,0,3.6
Day 785,1,0,0,0,0,0,0,0,3.2
Day 786,0,0,0,0,0,0,0,0,3.2
Day 787,0,0,0,0,0,0,0,0,3.1
Day 788,2,0,0,0,0,0,0,0,3.2
Day 789,0,0,0,0,0,0,0,0,2.9
Day 790,3,0,0,0,0,0,0,0,3
Day 791,7,0,0,0,0,0,0,0,2.9
Day 792,4,0,0,0,0,0,0,0,3.1
Day 793,6,0,0,0,0,0,0,0,3.1
Day 794,3,0,0,0,0,0,0,0,2.8
Day 795,2,0,0,0,0,0,0,0,2.8
Day 796,2,0,0,0,0,0,0,0,2.9
Day 797,1,0,0,0,0,0,0,0,2.8
Day 798,7,0,0,0,0,0,0,0,2.8
Day 799,6,0,0,0,0,0,0,0,2.7
Day 800,0,0,1,0,0,0,0,0,2.5
Day 801,4,0,0,0,0,0,0,0,2.4
Day 802,1,0,0,0,0,0,0,0,2.8
Day 803,2,1,0,0,0,0,0,0,2.7
Day 804,2,1,0,0,0,0,0,0,2.7
Day 805,5,2,0,0,0,0,0,0,2.7
Day 806,8,0,0,0,0,0,0,0,2.8
Day 807,4,4,0,0,0,0,0,0,2.8
Day 808,3,4,0,0,1,0,0,0,2.8
Day 809,2,2,0,0,0,0,0,0,2.9
Day 810,2,0,0,0,0,0,0,0,2.8
Day 811,2,0,0,0,0,0,0,0,2.9
Day 812,1,0,0,0,0,0,0,0,2.8
Day 813,1,0,0,0,0,0,0,0,2.8
Day 814,7,0,1,0,0,0,0,0,2.4
Day 815,1,0,0,0,0,0,0,0,2.1
Day 816,2,0,0,0,0,0,0,0,2.4
Day 817,3,0,0,0,0,0,0,0,2.3
Day 818,5,0,0,0,0,0,0,0,2.3
Day 819,5,0,0,0,0,0,0,0,2.1
Day 820,8,0,0,0,0,0,0,0,2.1
Day 821,0,0,0,0,0,0,0,0,2.3
Day 822,0,0,0,0,0,0,0,0,2.4
Day 823,2,4,0,0,1,0,0,0,2.5
Day 824,2,0,0,0,0,0,0,0,2.4
Day 825,0,0,0,0,0,0,0,0,2.3
Day 826,0,2,0,0,0,0,0,0,2.8
Day 827,0,1,0,0,0,0,0,0,2.8
Day 828,1,0,0,0,0,0,0,0,3.1
Day 829,0,0,0,0,0,0,0,0,3.1
Day 830,0,0,0,0,0,0,0,0,2.9
Day 831,0,0,0,0,0,0,0,0,2.8
Day 832,1,0,0,0,0,0,0,0,2.7
Day 833,2,0,0,0,0,0,0,0,3.1
Day 834,1,0,0,0,0,0,0,0,2.9
Day 835,0,0,0,0,0,0,0,0,2.5
Day 836,0,0,0,0,0,0,0,0,2.3
Day 837,0,0,0,0,0,0,0,0,2.4
Day 838,0,0,0,0,0,0,0,0,2.7
Day 839,0,0,0,0,0,0,0,0,2.9
Day 840,3,0,0,0,0,0,0,0,2.8
Day 841,0,0,0,0,0,0,0,0,2.9
Day 842,2,0,0,0,0,0,0,0,2.8
Day 843,0,0,0,0,0,0,0,0,2.5
Day 844,1,0,0,0,0,0,0,0,3.1
Day 845,0,0,0,0,0,0,0,0,3.2
Day 846,0,0,0,0,0,0,0,0,2.4
Day 847,0,0,0,0,0,0,0,0,3.6
Day 848,0,0,0,0,0,0,0,0,4
Day 849,2,0,0,0,0,0,0,0,4
Day 850,0,0,0,0,0,0,0,0,3
Day 851,0,0,0,0,0,0,0,0,3.6
Day 852,0,0,2,0,0,0,0,0,4.4
Day 853,0,0,0,0,0,0,0,0,4.4
Day 854,0,0,0,0,0,0,0,0,4.3
Day 855,0,0,0,0,0,0,0,0,4.4
Day 856,0,0,0,0,0,0,0,0,4.3
Day 857,0,0,0,0,0,0,0,0,4.8
Day 858,0,0,0,0,0,0,0,0,4
Day 859,0,0,0,0,0,0,0,0,4.7
Day 860,2,0,0,0,0,0,0,0,3.6
Day 861,0,0,1,0,0,0,0,0,4.7
Day 862,0,0,0,0,0,0,0,0,4.7
Day 863,0,0,0,0,0,0,0,0,4.7
Day 864,0,0,0,0,0,0,0,0,4.7
Day 865,0,0,0,0,0,0,0,0,5.1
Day 866,0,0,0,0,0,0,0,0,4.8
Day 867,0,0,0,0,0,0,0,0,5.2
Day 868,0,0,0,0,0,0,0,0,4.8
Day 869,0,0,0,0,0,0,0,0,5.1
Day 870,0,0,0,0,0,0,0,0,5.2
Day 871,0,0,0,1,0,0,0,0,5.5
Day 872,0,0,0,0,0,0,0,0,5.2
Day 873,0,0,0,0,0,0,0,0,4.7
Day 874,0,0,0,1,0,0,0,0,4.8
Day 875,0,0,0,0,0,0,0,0,4.8
Day 876,0,0,0,0,0,0,0,0,5.2
Day 877,0,0,0,1,1,0,0,0,5.1
Day 878,0,0,1,1,0,0,0,0,5.2
Day 879,0,0,0,0,0,0,0,0,5.2
Day 880,0,0,0,1,0,0,0,0,5.5
Day 881,0,0,0,1,0,0,0,0,5.6
Day 882,0,0,0,1,0,0,0,0,5.6
Day 883,0,0,0,0,0,0,0,0,5.9
Day 884,0,0,0,0,0,0,0,0,6.3
Day 885,0,0,0,0,0,0,0,0,6.4
Day 886,0,0,0,0,0,0,0,0,6.6
Day 887,1,0,0,0,0,0,0,0,7
Day 888,0,0,0,0,0,0,0,0,6.3
Day 889,0,0,0,0,0,0,0,0,6.3
Day 890,0,0,0,0,0,0,0,0,6.4
Day 891,0,0,0,0,0,0,0,0,6.3
Day 892,0,0,1,0,0,0,0,0,6.4
Day 893,0,0,0,0,0,0,0,0,7.1
Day 894,0,0,0,0,0,0,0,0,7.1
Day 895,0,0,0,0,0,0,0,0,7.4
Day 896,0,0,0,0,0,0,0,0,7.4
Day 897,0,0,0,8,0,0,0,0,7.2
Day 898,0,0,0,11,0,0,0,0,8.2
Day 899,0,0,0,20,0,0,0,0,8.2
Day 900,0,0,0,10,0,0,0,0,7.9
Day 901,0,0,0,4,0,0,0,0,7.8
Day 902,0,0,0,0,0,0,0,0,7.8
Day 903,0,0,0,3,0,0,0,0,7.8
Day 904,0,0,0,4,0,0,0,0,8.2
Day 905,0,0,0,2,0,0,0,0,8.3
Day 906,0,0,0,4,0,0,0,0,8.6
Day 907,0,0,0,0,0,0,0,0,8.7
Day 908,0,0,2,5,0,0,0,0,9.5
Day 909,0,0,0,10,0,0,0,0,9.4
Day 910,0,0,0,1,0,0,0,0,9.1
Day 911,0,0,0,6,0,0,0,0,8.9
Day 912,0,0,0,1,0,0,0,0,9.4
Day 913,0,0,0,2,0,0,0,0,9.5
Day 914,0,0,0,9,0,0,0,0,9.8
Day 915,0,0,0,17,0,0,0,0,10.1
Day 916,0,0,0,5,0,0,0,0,10.2
Day 917,0,0,0,13,0,0,0,0,11.3
Day 918,0,0,0,13,0,0,0,0,11.3
Day 919,0,0,0,4,0,0,0,0,11.8
Day 920,0,0,0,1,0,0,0,0,11.5
Day 921,0,0,0,2,0,0,0,0,11
Day 922,0,0,0,0,0,0,0,0,11.3
Day 923,0,0,0,0,0,0,0,0,11.4
Day 924,0,0,0,0,0,0,0,0,11
Day 925,0,0,0,0,0,0,0,0,10.6
Day 926,0,0,0,0,1,0,0,0,10.6
Day 927,0,0,0,0,0,0,0,0,10.6
Day 928,0,0,0,0,0,0,0,0,10.9
Day 929,0,0,0,0,1,0,0,0,10.6
Day 930,0,0,0,6,0,0,0,0,10.6
Day 931,0,0,0,3,0,0,0,0,10.6
Day 932,0,0,0,0,0,0,0,0,11
Day 933,0,0,0,0,0,0,0,0,11
Day 934,0,0,0,0,0,0,0,0,11
Day 935,0,0,0,0,0,0,0,0,11
Day 936,0,0,0,1,1,0,0,0,11
Day 937,0,0,0,0,0,0,0,0,11
Day 938,0,0,0,0,0,0,0,0,11.3
Day 939,0,0,0,4,0,0,0,0,12.1
Day 940,0,0,0,4,0,0,0,0,11.8
Day 941,0,0,0,3,0,0,0,0,12
Day 942,0,0,0,3,0,0,0,0,12.1
Day 943,0,0,0,1,0,0,0,0,12.6
Day 944,0,0,0,5,0,0,0,0,12.5
Day 945,0,0,0,8,0,0,0,0,11.7
Day 946,0,0,0,4,0,0,0,0,12.1
Day 947,0,0,0,11,0,0,0,0,11.8
Day 948,0,0,0,14,0,0,0,0,12.1
Day 949,0,0,0,6,0,0,0,0,11.9
Day 950,0,0,0,1,0,0,0,0,12.1
Day 951,0,0,0,0,1,0,0,0,11.7
Day 952,0,0,0,0,0,0,0,0,12.5
Day 953,0,0,0,0,0,0,0,0,12.6
Day 954,0,0,0,0,0,0,0,0,13.3
Day 955,0,0,0,0,0,0,0,0,12.9
Day 956,0,0,0,0,0,0,0,0,12.8
Day 957,0,0,0,0,1,0,0,0,12.9
Day 958,0,0,0,0,0,0,0,0,12.9
Day 959,0,0,0,1,0,0,0,0,13.3
Day 960,0,0,0,0,0,0,0,0,13.4
Day 961,0,0,0,0,1,0,0,0,12.9
Day 962,0,0,0,1,0,0,0,0,12.8
Day 963,0,0,0,2,0,0,0,0,12.9
Day 964,0,0,0,0,0,0,0,0,12.9
Day 965,0,0,0,0,0,0,0,0,12.6
Day 966,0,0,0,0,0,0,0,0,12.6
Day 967,0,0,0,0,0,0,0,0,12.5
Day 968,0,0,0,0,0,0,0,0,12.6
Day 969,0,0,0,0,0,0,0,0,12.6
Day 970,0,0,0,0,1,0,0,0,12.2
Day 971,0,0,0,1,0,0,0,0,12.4
Day 972,0,0,0,0,0,0,0,0,12.6
Day 973,0,0,0,0,0,0,0,0,12.5
Day 974,0,0,0,0,0,0,0,0,12.2
Day 975,0,0,0,4,0,0,0,0,12.5
Day 976,0,0,0,0,1,0,0,0,12.7
Day 977,0,0,0,0,0,0,0,0,12.1
Day 978,0,0,0,0,0,0,0,0,12.1
Day 979,0,0,0,0,0,0,0,0,10.8
Day 980,0,0,0,0,1,0,0,0,11
Day 981,0,0,0,0,0,0,0,0,11.3
Day 982,0,0,0,0,0,0,0,0,11.3
Day 983,0,0,0,0,0,0,0,0,11.4
Day 984,0,0,0,0,0,0,0,0,11.8
Day 985,0,0,0,0,0,0,0,0,11.4
Day 986,0,0,0,0,0,0,0,0,12
Day 987,0,0,0,0,0,0,0,0,11.8
Day 988,0,0,0,2,0,0,0,0,11.8
Day 989,0,0,0,3,0,0,0,0,11.3
Day 990,0,0,0,0,0,0,0,0,11.4
Day 991,0,0,0,0,0,0,0,0,11.7
Day 992,0,0,0,0,1,0,0,0,11.3
Day 993,0,0,0,0,0,0,0,0,11.4
Day 994,0,0,0,0,0,0,0,0,11.3
Day 995,0,0,0,0,0,0,0,0,11
Day 996,0,0,0,0,0,0,0,0,11.3
Day 997,0,0,0,1,0,0,0,0,11
Day 998,0,0,0,0,0,0,0,0,10.6
Day 999,0,0,0,0,0,0,0,0,10.5
Day 1000,0,0,0,0,0,0,0,0,10.2
Day 1001,0,0,0,0,0,0,0,0,10.2
Day 1002,0,0,0,0,0,0,0,0,10.2
Day 1003,0,0,0,0,0,0,0,0,9.7
Day 1004,0,1,0,0,0,0,0,0,9.7
Day 1005,0,0,0,0,0,0,0,0,9.4
Day 1006,0,0,0,0,0,0,0,0,9.4
Day 1007,0,0,0,2,0,0,0,0,9
Day 1008,0,0,0,0,0,0,0,0,8.6
Day 1009,0,0,0,0,0,0,0,0,8.7
Day 1010,0,0,0,2,0,0,0,0,8.3
Day 1011,0,0,0,4,0,0,0,0,8.5
Day 1012,0,0,0,3,0,0,0,0,8.3
Day 1013,0,0,0,2,0,0,0,0,8.3
Day 1014,0,0,0,0,0,0,0,0,8.2
Day 1015,0,0,0,0,0,0,0,0,8.2
Day 1016,0,0,0,1,0,0,0,0,8.4
Day 1017,0,0,0,2,0,0,0,0,8.2
Day 1018,0,0,0,0,0,0,0,0,8.2
Day 1019,0,0,0,3,0,0,0,0,7.9
Day 1020,0,0,0,2,0,0,0,0,8.2
Day 1021,0,0,0,1,0,0,0,0,7.9
Day 1022,0,0,0,0,0,0,0,0,8.2
Day 1023,0,0,0,2,0,0,0,0,7.9
Day 1024,0,0,0,5,0,0,0,0,7.9
Day 1025,0,0,0,0,0,0,0,0,7.8
Day 1026,0,0,0,3,0,0,0,0,7.8
Day 1027,0,0,0,0,0,0,0,0,7.4
Day 1028,0,0,0,0,0,0,0,0,7.4
Day 1029,0,0,0,0,0,0,0,0,7.4
Day 1030,0,0,0,0,0,0,0,0,7.5
Day 1031,0,0,0,0,0,0,0,0,7.4
Day 1032,0,0,0,0,0,0,0,0,7.4
Day 1033,0,0,0,0,0,0,0,0,7.4
Day 1034,0,0,0,0,0,0,0,0,6.7
Day 1035,0,0,0,0,0,0,0,0,6.6
Day 1036,0,0,0,0,0,0,0,0,6.6
Day 1037,0,0,0,0,0,0,0,0,6.6
Day 1038,0,0,0,1,0,0,0,0,6.4
Day 1039,0,0,0,1,0,0,0,0,6.6
Day 1040,0,0,0,1,0,0,0,0,6.7
Day 1041,0,0,0,1,0,0,0,0,6.6
Day 1042,0,0,0,0,0,0,0,0,6.4
Day 1043,0,0,0,0,0,0,0,0,6.4
Day 1044,0,0,0,0,0,0,0,0,6.3
Day 1045,0,0,0,0,0,0,0,0,6.3
Day 1046,0,0,0,0,0,0,0,0,6.2
Day 1047,0,0,0,0,0,0,0,0,6.3
Day 1048,0,0,0,1,0,0,0,0,6.3
Day 1049,0,0,0,0,0,0,0,0,6.3
Day 1050,0,0,0,0,0,0,0,0,5.9
Day 1051,0,0,0,0,0,0,0,0,6
Day 1052,0,0,0,0,0,0,0,0,5.9
Day 1053,0,0,0,0,0,0,0,0,5.9
Day 1054,0,0,0,0,0,0,0,0,5.8
Day 1055,0,0,0,0,0,0,0,0,5.8
Day 1056,0,0,0,0,0,0,0,0,5.6
Day 1057,0,0,0,0,0,0,0,0,5.5
Day 1058,0,0,0,0,0,0,0,0,5.5
Day 1059,0,0,0,0,0,0,0,0,5.6
Day 1060,0,0,0,0,0,0,0,0,5.5
Day 1061,0,0,0,0,0,0,0,0,5.2
Day 1062,0,0,0,0,0,0,0,0,5.2
Day 1063,0,0,0,0,0,0,0,0,5.2
Day 1064,0,0,0,0,0,0,0,0,5.2
Day 1065,0,0,0,0,0,0,0,0,5.1
Day 1066,0,0,0,0,0,0,0,0,5.1
Day 1067,0,0,0,0,0,0,0,0,5.1
Day 1068,0,0,0,0,0,0,0,0,4.8
Day 1069,0,0,0,0,0,0,0,0,5.5
Day 1070,0,0,0,0,0,0,0,0,4.9
Day 1071,0,0,0,0,0,0,0,0,6.3
Day 1072,0,0,0,0,0,0,0,0,5.8
Day 1073,0,1,0,0,0,0,0,0,5.6
Day 1074,0,2,0,0,0,0,0,0,5.8
Day 1075,0,2,0,0,0,0,0,0,5.2
Day 1076,0,1,0,0,0,0,0,0,5.2
Day 1077,0,0,0,0,0,0,0,0,5.8
Day 1078,0,0,0,0,0,0,0,0,5.8
Day 1079,0,0,0,0,0,0,0,0,5.5
Day 1080,0,0,0,0,0,0,0,0,5.2
Day 1081,0,0,0,0,0,0,0,0,4.8
Day 1082,0,0,0,0,0,0,0,0,4.8
Day 1083,0,0,0,0,0,0,0,0,4.8
Day 1084,0,0,0,0,0,0,0,0,4.7
Day 1085,0,0,0,0,0,0,0,0,4.7
Day 1086,0,0,0,0,0,0,0,0,4.8
Day 1087,0,0,0,0,0,0,0,0,5.2
Day 1088,0,0,0,0,0,0,0,0,4.8
Day 1089,0,0,0,0,0,0,0,0,4.7
Day 1090,0,0,0,0,0,0,0,0,4.4
Day 1091,0,0,0,0,0,0,0,0,4.7
Day 1092,0,0,0,0,0,0,0,0,4.4
Day 1093,0,0,0,0,0,0,0,0,4.4
Day 1094,0,0,0,0,0,0,0,0,4.7
Day 1095,1,0,0,0,0,0,0,0,4.3
Day 1096,0,0,0,0,0,0,0,0,4.4
Day 1097,0,10,0,0,0,0,0,0,4.3
Day 1098,0,7,0,0,0,0,0,0,4
Day 1099,0,5,0,0,0,0,0,0,4
Day 1100,1,0,0,0,0,0,0,0,4
Day 1101,3,2,0,0,0,0,0,0,3.9
Day 1102,1,0,0,0,0,0,0,0,3.9
Day 1103,0,0,0,0,0,0,0,0,3.6
Day 1104,0,0,0,0,0,0,0,0,3.9
Day 1105,0,0,0,0,0,0,0,0,3.6
Day 1106,0,0,0,0,0,0,0,0,3.6
