,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 127,0,2,0,0,0,0,0,0,5.2
Day 128,0,0,0,0,0,0,0,0,4.7
Day 129,0,0,0,0,0,0,0,0,6.3
Day 130,0,0,0,0,0,0,0,0,5.9
Day 131,0,0,0,0,0,0,0,0,5.8
Day 132,0,0,0,0,0,0,0,0,5.8
Day 133,0,0,0,0,0,0,0,0,5.6
Day 134,0,0,0,0,0,0,0,0,5.8
Day 135,0,0,0,0,0,0,0,0,5.9
Day 136,0,0,0,0,0,0,0,0,6.3
Day 137,0,0,0,0,0,0,0,0,6.6
Day 138,0,0,0,0,0,0,0,0,6.3
Day 139,0,0,0,0,0,0,0,0,6.4
Day 140,0,0,0,0,0,0,0,0,6.6
Day 141,0,0,0,0,0,0,0,0,7
Day 142,0,0,0,0,0,0,0,0,6.4
Day 143,0,0,0,0,0,0,0,0,6.4
Day 144,0,1,0,0,0,0,0,0,6.7
Day 145,0,0,0,0,0,0,0,0,6.7
Day 146,0,0,0,0,0,0,0,0,7
Day 147,0,0,0,0,0,0,0,0,6.6
Day 148,0,0,0,0,0,0,0,0,6.6
Day 149,0,0,0,0,0,0,0,0,6.7
Day 150,0,0,0,0,0,0,0,0,6.6
Day 151,0,0,0,0,0,0,0,0,6.7
Day 152,0,0,0,0,0,0,0,0,6.7
Day 153,0,0,0,0,0,0,0,0,6.7
Day 154,0,0,0,0,0,0,0,0,7
Day 155,0,0,0,0,0,0,0,0,7.1
Day 156,0,0,0,0,0,0,0,0,7.8
Day 157,0,0,0,0,0,0,0,0,7.5
Day 158,0,0,0,0,0,0,0,0,7.1
Day 159,0,0,0,0,0,0,0,0,7.5
Day 160,0,0,0,1,0,0,0,0,7.4
Day 161,0,0,0,0,0,0,0,0,7.5
Day 162,0,0,0,0,0,0,0,0,7.8
Day 163,0,3,0,0,0,0,0,0,7.9
Day 164,0,0,0,0,0,0,0,0,7.9
Day 165,0,0,0,0,0,0,0,0,7.8
Day 166,0,0,0,0,0,0,0,0,9
Day 167,0,0,0,0,0,0,0,0,9.4
Day 168,0,0,0,1,0,0,0,0,8.7
Day 169,0,0,0,0,0,0,0,0,8.2
Day 170,0,0,0,0,0,0,0,0,8.6
Day 171,0,0,0,0,0,0,0,0,8.2
Day 172,0,0,0,0,0,0,0,0,8.2
Day 173,0,0,0,0,0,0,0,0,7.9
Day 174,0,0,0,0,0,0,0,0,8.6
Day 175,0,0,0,0,0,0,0,0,9.9
Day 176,0,0,0,0,0,0,0,0,9.4
Day 177,0,0,0,7,0,0,0,0,10.2
Day 178,0,0,0,1,0,0,0,0,10.2
Day 179,0,0,0,2,0,0,0,0,9.5
Day 180,0,0,0,0,0,0,0,0,10.2
Day 181,0,0,0,0,0,0,0,0,10.5
Day 182,0,0,0,0,0,0,0,0,11
Day 183,0,0,0,0,0,0,0,0,11
Day 184,0,0,0,0,0,0,0,0,11
Day 185,0,0,0,0,0,0,0,0,11
Day 186,0,0,0,0,1,0,0,0,11.3
Day 187,0,0,0,0,1,0,0,0,11.7
Day 188,0,0,0,0,0,0,0,0,11.8
Day 189,0,0,0,0,0,0,0,0,11.8
Day 190,0,0,0,0,0,0,0,0,12.1
Day 191,0,0,0,3,0,0,0,0,12.2
Day 192,0,0,0,0,0,0,0,0,12.5
Day 193,0,0,0,0,0,0,0,0,12.5
